day_of_week,hour_of_day,is_holiday,special_event,pressure_sensor,ir_sensor,ultrasonic_sensor,magnetic_sensor,camera_detection,rfid_sensor,temperature_sensor,humidity_sensor,vibration_sensor,light_sensor,gas_sensor,motion_sensor,weight_sensor,proximity_sensor,nearby_traffic,air_quality_index,noise_level_db,prev_hour_occupied,weather,occupied
3,0,0,0,0.672702994208898,0.5719958782835928,0.3936355202774421,0.648256954077822,0.03879945472888746,0.7202679239473956,37.83945028506737,42.41844910800191,0.5330305614882556,0.654306321534056,0.9743176372044141,0.0731750987680021,0.49967024372905344,0.004401609003786278,22,79.96978313800045,61.02379959313494,0,sunny,0
3,0,0,0,0.7966813971913723,0.8054323292999863,0.4734356593750214,0.17238636210516622,0.18677252823112933,0.6872830044131277,28.134012045487452,39.974725773884195,0.13789882173033396,0.08003256976593665,0.017172990662369547,0.08947838298241739,0.7467467725125942,0.00033015925947643687,24,66.63627243117219,45.557837437709935,1,rainy,0
3,0,0,1,0.250467898792499,0.760160929790159,0.8545473932021803,0.8723945633548149,0.8312458050899425,0.09575419866335766,33.122756795902106,30.569234750171603,0.5912429057506141,0.242329811453739,0.947651653081089,0.6519737139229607,0.5626667806563331,0.4722634607952153,19,64.77235283971316,76.58763698832928,1,cloudy,1
3,0,0,0,0.6248740996069989,0.15389990469377368,0.34000438605989214,0.6131162390692415,0.7667683563383357,0.9225724049058001,25.901207449314697,56.436000206089275,0.31478562371695795,0.7736793464792507,0.3686774238491447,0.48694071323924826,0.08330258311179639,0.02929370500537065,24,81.49095475267163,77.14896791968178,0,sunny,1
3,0,0,0,0.5717459831437487,0.1492494697414739,0.8696496848121713,0.15720388355695425,0.3506426914571469,0.5684722021568196,30.750864438560953,48.59744963051773,0.05234876680960243,0.5286858536788197,0.010090405021881521,0.7904152503192102,0.1855802367835554,0.9745325536623746,9,109.26780659137455,67.33706361672014,0,sunny,0
3,0,0,0,0.8328303767882711,0.2681743677449133,0.08813443097669149,0.9623380574812068,0.3768106277742125,0.36372552113568424,23.514398435527966,71.94205953944022,0.9486561577065649,0.9279690617870447,0.6891572317245083,0.9162708373435314,0.21932818403091914,0.22206517454139196,14,85.84022386938166,40.70525635736099,1,sunny,0
3,0,0,0,0.9060870604812605,0.3610747263410372,0.7767984372086307,0.5183654633353206,0.5335544335535795,0.7565385834953067,22.528975494636136,21.926574828923496,0.6414903690642878,0.4287514083413543,0.9805403040313542,0.38836687767154754,0.2578642536448449,0.4726647293648447,20,52.066185159343156,61.48296863613304,1,sunny,0
3,0,0,0,0.012156771477386807,0.4084555814084826,0.8475476330547363,0.072898451871655,0.0002410046851345493,0.25736545840163405,29.45574465423784,58.63207565330758,0.876918931870847,0.8698123658139231,0.9656257228375925,0.5964100265846463,0.5654033919505043,0.06113763001222361,21,59.69084346778111,65.16875888354454,1,cloudy,0
3,0,0,0,0.6740199190587927,0.6796972168333453,0.18181765283733875,0.6268329044150672,0.24124433603802786,0.6935098370463204,27.45324185459951,65.77693271069367,0.6760560050132531,0.4489554374782375,0.16093701120241843,0.5006966277953099,0.5039657798253935,0.5220484161712585,15,79.0503247198619,79.78616891832439,1,cloudy,1
3,0,0,0,0.05183579911972902,0.056680432165835404,0.43034653237220044,0.2531989070128102,0.20823180860821444,0.03971120757224722,29.488409228749525,65.56919415129842,0.35698369214011294,0.9792482787019853,0.18124780606615498,0.9816106556424329,0.20316003836420893,0.3799561251474085,21,115.9704482147092,79.84267820779186,0,cloudy,0
3,0,0,0,0.5488586650773559,0.034672704226066386,0.16549977466365562,0.8036934518773025,0.25048294674976346,0.839408037609272,22.166514532175576,73.1644380257315,0.5126880723288114,0.9598343813988768,0.5655389146196601,0.8310844073565952,0.06755484345568707,0.044660028877223756,16,59.85150734685338,74.3044494130223,1,sunny,0
3,0,1,0,0.2876327290436782,0.391910562943909,0.7066041289942178,0.8178220735661906,0.8059058425334413,0.4481708470213185,24.17394579542488,63.74202456976965,0.6757467603471771,0.3291367055560803,0.6373048264283244,0.9117377082773536,0.17143220447471808,0.33512426669622475,18,106.06568535006818,42.553239681044545,0,rainy,1
3,0,1,1,0.3067765995221412,0.6971636921379805,0.5353477680616567,0.9789473558546619,0.27967385654644317,0.6366929143579417,17.09744901572273,75.66860369886177,0.9602523252014376,0.8859236704168032,0.7394179136658656,0.2543400875776042,0.9843813126186033,0.3914360202228556,25,61.98858708240043,78.1310556311492,1,cloudy,0
3,0,0,0,0.3529585034523566,0.19343534295648257,0.635323346708321,0.5018695310245037,0.19152132205014816,0.22123781980668367,16.306909306805142,39.95939598925349,0.2536694591216965,0.8476113742156492,0.1810503604721475,0.7725264231625943,0.46854694979147227,0.98992149127494,24,71.16153273493815,64.50644988607996,0,sunny,0
3,0,0,0,0.6212924490496101,0.6415044812562517,0.19648696695621115,0.45495687972773713,0.5042634607930315,0.677073712658448,21.336428241825406,50.19256500509258,0.8749770586241177,0.21068039732756283,0.9590070867644345,0.2654732249976489,0.8673455047021125,0.20788587191937546,15,67.21885275557628,72.03547081916719,1,sunny,0
3,0,1,0,0.3340499656687692,0.25982813794029946,0.21174586205241952,0.7534756054464806,0.8656450363727319,0.7722402758932766,16.856171483263644,20.84477979697344,0.9240778052942694,0.6242904007832697,0.6387392562892379,0.2087425334283899,0.8487524666688433,0.5447796153700997,14,56.72286355708105,56.287713987434145,0,sunny,0
